fips,fips_char,cbsa13,cbsatype13,cbsaname,pop10,purchase2015,purchase2016,purchase2017,purchase2018,purchase2019,purchase2020,purchase2021,purchase2022,rolling_average,proportion1000
1001,01001,33860,Metro,"Montgomery, AL (Metro)",54571,157,202,196,218,259,257,336,316,277.2,5.079621044
1003,01003,19300,Metro,"Daphne-Fairhope-Foley, AL (Metro)",182265,437,435,583,635,603,741,838,785,720.4,3.952486764
1005,01005,,Nonmetro,,27457,11,16,22,11,18,28,25,28,22,0.801252868
1007,01007,13820,Metro,"Birmingham-Hoover, AL (Metro)",22915,10,7,9,14,10,9,9,15,11.4,0.497490727
1009,01009,13820,Metro,"Birmingham-Hoover, AL (Metro)",57322,45,41,50,58,55,63,54,74,60.8,1.060674785
1011,01011,,Nonmetro,,10914,,1,4,3,,1,,,0.8,0.073300348
1013,01013,,Nonmetro,,20947,10,14,9,14,9,5,9,13,10,0.477395331
1015,01015,11500,Metro,"Anniston-Oxford-Jacksonville, AL (Metro)",118572,94,128,153,147,161,159,186,201,170.8,1.440474986
1017,01017,46740,Micro,"Valley, AL (Micro)",34215,14,17,20,21,13,30,24,27,23,0.672219787
1019,01019,,Nonmetro,,25989,11,11,27,24,24,19,39,30,27.2,1.046596637
1021,01021,13820,Metro,"Birmingham-Hoover, AL (Metro)",43643,19,34,33,44,37,29,44,61,43,0.985266824
1023,01023,,Nonmetro,,13859,2,5,4,1,1,3,4,4,2.6,0.187603723
1025,01025,,Nonmetro,,25833,8,9,13,10,16,14,11,11,12.4,0.480006194
1027,01027,,Nonmetro,,13932,4,3,4,10,1,7,4,10,6.4,0.459374103
1029,01029,,Nonmetro,,14972,3,3,9,4,2,7,11,10,6.8,0.454181138
1031,01031,21460,Micro,"Enterprise, AL (Micro)",49948,220,250,282,278,348,461,530,525,428.4,8.576919997
1033,01033,22520,Metro,"Florence-Muscle Shoals, AL (Metro)",54428,47,48,55,62,59,58,82,80,68.2,1.253031528
1035,01035,,Nonmetro,,13228,2,4,6,5,7,3,6,9,6,0.453583308
1037,01037,45180,Micro,"Talladega-Sylacauga, AL (Micro)",11539,2,6,8,7,7,4,11,4,6.6,0.571973308
1039,01039,,Nonmetro,,37765,20,36,25,24,36,35,51,67,42.6,1.128028598
1041,01041,,Nonmetro,,13906,3,3,4,7,5,6,9,11,7.6,0.546526679
1043,01043,18980,Micro,"Cullman, AL (Micro)",80406,58,54,80,90,79,106,124,132,106.2,1.320796955
1045,01045,37120,Micro,"Ozark, AL (Micro)",50251,85,104,123,122,133,146,197,214,162.4,3.231776482
1047,01047,42820,Micro,"Selma, AL (Micro)",43820,7,15,8,9,16,17,20,22,16.8,0.383386581
1049,01049,,Nonmetro,,71109,15,28,32,48,34,53,61,73,53.8,0.756584961
1051,01051,33860,Metro,"Montgomery, AL (Metro)",79303,187,210,250,223,261,266,350,313,282.6,3.563547407
1053,01053,,Nonmetro,,38319,13,16,16,21,26,30,41,52,34,0.88728829
1055,01055,23460,Metro,"Gadsden, AL (Metro)",104430,49,85,80,89,92,129,112,111,106.6,1.02077947
1057,01057,,Nonmetro,,17241,5,11,6,15,10,8,11,21,13,0.754016588
1059,01059,,Nonmetro,,31704,8,6,22,11,12,10,20,21,14.8,0.466818067
1061,01061,20020,Metro,"Dothan, AL (Metro)",26790,25,34,34,31,34,46,42,51,40.8,1.522956327
1063,01063,,Nonmetro,,9045,2,2,2,3,,1,3,1,1.6,0.176893311
